ImageID,Latitude,Longitude,Elevation,Neighborhood,Date,OpenAI Score,Walkability Rating,Tags,Description
image_7,47.6182309,-122.3386876,28,Denny Triangle,2022-08-01,8,Very walkable,"Greenery and trees, seating areas present, no visible obstacles, urban environment, nearby street access, some pedestrian features observed","Greenery and trees, seating areas present, no visible obstacles, urban environment, nearby street access, some pedestrian features observed. Very walkable. 8/10."
image_3335,47.6016541,-122.3334446,21,Pioneer Square,2021-12-01,7,Very walkable,"Active storefronts, presence of restaurants, pedestrian-friendly environment, no visible obstructions on the sidewalk, urban setting, inviting entrance, moderate pedestrian appeal","Active storefronts, presence of restaurants, pedestrian-friendly environment, no visible obstructions on the sidewalk, urban setting, inviting entrance, moderate pedestrian appeal. Very walkable. 7/10."
image_109,47.618587,-122.3520553,34,Belltown,2021-12-01,5,Moderately walkable,"Wide sidewalks, some trees for shade, nearby bus stop, visible pedestrians, flat terrain, multiple lanes of traffic present","Wide sidewalks, some trees for shade, nearby bus stop, visible pedestrians, flat terrain, multiple lanes of traffic present. Moderately walkable. 5/10."
image_25,47.6184434,-122.3551418,20,Belltown,2021-12-01,8,Very walkable,"Marked crosswalks, traffic signals, nearby amenities, mixed-use buildings, flat terrain, some trees, urban environment, moderate vehicle presence","Marked crosswalks, traffic signals, nearby amenities, mixed-use buildings, flat terrain, some trees, urban environment, moderate vehicle presence. Very walkable. 8/10."
image_1181,47.6060606,-122.332975,57,Central Business District,2021-12-01,7,Very walkable,"Wide sidewalks, marked crosswalks, traffic signals present, several pedestrians, urban amenities nearby, slight incline, ongoing construction","Wide sidewalks, marked crosswalks, traffic signals present, several pedestrians, urban amenities nearby, slight incline, ongoing construction. Very walkable. 7/10."
image_1005,47.6112039,-122.341731,51,Pike-Market,2021-12-01,3,Slightly walkable,"Narrow pathway, graffiti art on walls, mixed-use buildings, minimal pedestrian space, lack of street amenities","Narrow pathway, graffiti art on walls, mixed-use buildings, minimal pedestrian space, lack of street amenities. Slightly walkable. 3/10."
image_1238,47.6174337,-122.3320904,41,Denny Triangle,2021-12-01,4,Slightly walkable,"Flat terrain, some trees, nearby construction, no visible sidewalks or pedestrian pathways, heavy vehicle presence, limited amenities","Flat terrain, some trees, nearby construction, no visible sidewalks or pedestrian pathways, heavy vehicle presence, limited amenities. Slightly walkable. 4/10."
image_942,47.6188828,-122.3469702,42,South Lake Union,2021-12-01,3,Slightly walkable,"Narrow pathway, potential obstacles, limited pedestrian space, mixed-use buildings, lack of foot traffic, unclear accessibility","Narrow pathway, potential obstacles, limited pedestrian space, mixed-use buildings, lack of foot traffic, unclear accessibility. Slightly walkable. 3/10."
image_238,47.617226,-122.3339753,45,Denny Triangle,2021-12-01,1,Not at all walkable,"No sidewalks visible, parking area only, construction nearby, no pedestrians or amenities shown, limited accessibility","No sidewalks visible, parking area only, construction nearby, no pedestrians or amenities shown, limited accessibility. Not at all walkable. 1/10."
image_869,47.6187029,-122.3567497,12,Lower Queen Anne,2021-12-01,6,Moderately walkable,"Marked traffic signals, trees, nearby businesses, flat terrain, intersecting roads may complicate crossings, some parked cars but good pedestrian visibility","Marked traffic signals, trees, nearby businesses, flat terrain, intersecting roads may complicate crossings, some parked cars but good pedestrian visibility. Moderately walkable. 6/10."
image_127,47.6224513,-122.3480644,43,Lower Queen Anne,2021-12-01,2,Not at all walkable,"Large parking area, minimal pedestrian pathways, no visible sidewalks, limited amenities nearby, lack of activity, few trees for shade","Large parking area, minimal pedestrian pathways, no visible sidewalks, limited amenities nearby, lack of activity, few trees for shade. Not at all walkable. 2/10."
image_13,47.6121511,-122.3402044,56,Belltown,2021-12-01,2,Not at all walkable,"Narrow space, parking garage entrance, minimal pedestrian infrastructure visible, absence of sidewalks, potential hazards from vehicle movements","Narrow space, parking garage entrance, minimal pedestrian infrastructure visible, absence of sidewalks, potential hazards from vehicle movements. Not at all walkable. 2/10."
image_168,47.6152393,-122.3498405,31,Belltown,2021-12-01,4,Slightly walkable,"Moderate incline, limited sidewalks, scattered trees, parked cars, nearby buildings, minimal pedestrian activity","Moderate incline, limited sidewalks, scattered trees, parked cars, nearby buildings, minimal pedestrian activity. Slightly walkable. 4/10."
image_14,47.6134953,-122.3352634,66,Central Business District,2021-12-01,8,Very walkable,"Wide sidewalks, pedestrian signals, nearby shops and cafes, flat terrain, trees present, minimal obstacles","Wide sidewalks, pedestrian signals, nearby shops and cafes, flat terrain, trees present, minimal obstacles. Very walkable. 8/10."
image_38,47.6099967,-122.3403062,40,Pike-Market,2021-12-01,8,Very walkable,"Wide and paved sidewalks, streetlights, nearby shops, some pedestrian activity, flat terrain, minimal obstructions","Wide and paved sidewalks, streetlights, nearby shops, some pedestrian activity, flat terrain, minimal obstructions. Very walkable. 8/10."
image_95,47.6152346,-122.3379884,38,Denny Triangle,2021-12-01,9,Extremely walkable,"Paved sidewalks, nearby shops and cafes, greenery, street lighting, no visible obstacles, urban environment, flat terrain","Paved sidewalks, nearby shops and cafes, greenery, street lighting, no visible obstacles, urban environment, flat terrain. Extremely walkable. 9/10."
image_92,47.6132798,-122.3421972,51,Belltown,2021-12-01,5,Moderately walkable,"Paved sidewalks, some pedestrians, nearby buildings, limited traffic, some street trees, parked delivery vehicle, no visible crosswalks","Paved sidewalks, some pedestrians, nearby buildings, limited traffic, some street trees, parked delivery vehicle, no visible crosswalks. Moderately walkable. 5/10."
image_44,47.6164236,-122.3235469,87,Broadway,2021-12-01,3,Slightly walkable,"Narrow sidewalk, construction activity, parked cars, some greenery, limited pedestrian infrastructure, cluttered environment","Narrow sidewalk, construction activity, parked cars, some greenery, limited pedestrian infrastructure, cluttered environment. Slightly walkable. 3/10."
image_6,47.6045696,-122.331706,40,Central Business District,2021-12-01,5,Moderately walkable,"Marked crosswalks, visible traffic signals, pedestrian presence, slight incline, some street clutter, graffiti present, limited sidewalk space due to obstacles","Marked crosswalks, visible traffic signals, pedestrian presence, slight incline, some street clutter, graffiti present, limited sidewalk space due to obstacles. Moderately walkable. 5/10."
image_670,47.6193221,-122.3527348,36,Lower Queen Anne,2021-12-01,3,Slightly walkable,"Steep incline, limited pedestrian space, signs present, landscaping, presence of vehicles","Steep incline, limited pedestrian space, signs present, landscaping, presence of vehicles. Slightly walkable. 3/10."
image_76,47.614412,-122.3329944,59,Central Business District,2021-12-01,4,Slightly walkable,"Construction zone, obstructed sidewalks, traffic lights present, some pedestrians visible, distracting elements like barriers, uneven pavement","Construction zone, obstructed sidewalks, traffic lights present, some pedestrians visible, distracting elements like barriers, uneven pavement. Slightly walkable. 4/10."
image_67,47.6171603,-122.337045,27,Denny Triangle,2021-12-01,5,Moderately walkable,"Marked crosswalks, flat terrain, nearby businesses and amenities, construction signs indicating potential obstructions, some street trees, moderate vehicle traffic","Marked crosswalks, flat terrain, nearby businesses and amenities, construction signs indicating potential obstructions, some street trees, moderate vehicle traffic. Moderately walkable. 5/10."
image_8,47.605807,-122.3220753,104,Yesler Terrace,2021-11-01,8,Very walkable,"Traffic signals visible, marked crosswalk, wide sidewalks, urban environment, some greenery, moderate car traffic, no visible obstacles","Traffic signals visible, marked crosswalk, wide sidewalks, urban environment, some greenery, moderate car traffic, no visible obstacles. Very walkable. 8/10."
image_225,47.6202114,-122.3551624,28,Lower Queen Anne,2021-08-01,1,Not at all walkable,"Heavy construction, obstructed areas, no visible sidewalks, construction machinery present, minimal pedestrian amenities, industrial setting","Heavy construction, obstructed areas, no visible sidewalks, construction machinery present, minimal pedestrian amenities, industrial setting. Not at all walkable. 1/10."
image_311,47.6185637,-122.337302,29,South Lake Union,2021-08-01,9,Extremely walkable,"Paved sidewalks, nearby shops and restaurants, traffic signals present, greenery, level terrain, pedestrian-friendly environment, no visible obstacles","Paved sidewalks, nearby shops and restaurants, traffic signals present, greenery, level terrain, pedestrian-friendly environment, no visible obstacles. Extremely walkable. 9/10."
image_399,47.6027696,-122.3269381,48,Pioneer Square,2021-08-01,1,Not at all walkable,"Overgrown grass, lack of pedestrian infrastructure, presence of parking structure, minimal visibility, no sidewalks or walkable paths","Overgrown grass, lack of pedestrian infrastructure, presence of parking structure, minimal visibility, no sidewalks or walkable paths. Not at all walkable. 1/10."
image_178,47.6231674,-122.3409452,22,South Lake Union,2021-08-01,6,Moderately walkable,"Paved sidewalks, nearby greenery, mixed-use buildings, minimal pedestrian activity, flat terrain, some street signage visible","Paved sidewalks, nearby greenery, mixed-use buildings, minimal pedestrian activity, flat terrain, some street signage visible. Moderately walkable. 6/10."
image_36,47.6018548,-122.3276557,36,Pioneer Square,2021-08-01,2,Not at all walkable,"Limited pedestrian space, dark underpass, unclear pathways, few amenities visible, and minimal traffic","Limited pedestrian space, dark underpass, unclear pathways, few amenities visible, and minimal traffic. Not at all walkable. 2/10."
image_1166,47.6021216,-122.3349491,15,Pioneer Square,2021-07-01,3,Slightly walkable,"Narrow path, greenery, limited visibility, residential area, no pedestrians visible, potential access obstruction","Narrow path, greenery, limited visibility, residential area, no pedestrians visible, potential access obstruction. Slightly walkable. 3/10."
image_1233,47.6096826,-122.342106,24,Pike-Market,2021-07-01,6,Moderately walkable,"Busy pedestrian area, nearby shops and restaurants, slight incline, some cars parked, vibrant atmosphere, many people walking, textured pavement","Busy pedestrian area, nearby shops and restaurants, slight incline, some cars parked, vibrant atmosphere, many people walking, textured pavement. Moderately walkable. 6/10."
image_956,47.608406,-122.3229041,107,First Hill,2021-07-01,7,Very walkable,"Paved sidewalks, green landscaping, flat terrain, nearby buildings, presence of parked cars, minimal pedestrian traffic visible","Paved sidewalks, green landscaping, flat terrain, nearby buildings, presence of parked cars, minimal pedestrian traffic visible. Very walkable. 7/10."
image_16,47.6001253,-122.3343353,14,Pioneer Square,2021-07-01,8,Very walkable,"Marked crosswalks, traffic signals present, several pedestrians, nearby businesses, flat terrain, urban charm, slight clutter near the curb","Marked crosswalks, traffic signals present, several pedestrians, nearby businesses, flat terrain, urban charm, slight clutter near the curb. Very walkable. 8/10."
image_2770,47.6175376,-122.3202888,104,Broadway,2021-07-01,7,Very walkable,"Paved sidewalks, minimal street traffic, greenery, residential area, well-maintained surroundings, some pedestrian space, no visible obstacles","Paved sidewalks, minimal street traffic, greenery, residential area, well-maintained surroundings, some pedestrian space, no visible obstacles. Very walkable. 7/10."
image_9,47.5966664,-122.322595,18,International District,2021-07-01,5,Moderately walkable,"Marked crosswalks, flat terrain, some trees and greenery, nearby buildings, moderate vehicle presence, sidewalks visible but limited pedestrian activity","Marked crosswalks, flat terrain, some trees and greenery, nearby buildings, moderate vehicle presence, sidewalks visible but limited pedestrian activity. Moderately walkable. 5/10."
image_3316,47.6016979,-122.3209367,76,Yesler Terrace,2021-07-01,7,Very walkable,"Bicycle lanes, landscaped areas, modern buildings, flat terrain, traffic signals present, urban environment, clear pathways for pedestrians, some greenery","Bicycle lanes, landscaped areas, modern buildings, flat terrain, traffic signals present, urban environment, clear pathways for pedestrians, some greenery. Very walkable. 7/10."
image_3736,47.5984358,-122.3249475,28,International District,2021-07-01,7,Very walkable,"Marked crosswalks, presence of businesses, some greenery, flat terrain, side-street environment, moderate traffic, some pedestrian activity, clear stop signs","Marked crosswalks, presence of businesses, some greenery, flat terrain, side-street environment, moderate traffic, some pedestrian activity, clear stop signs. Very walkable. 7/10."
image_6915,47.6017279,-122.3203111,77,Yesler Terrace,2021-07-01,10,Extremely walkable,"Wide sidewalk, nearby tram stop, landscaped areas, modern buildings, flat terrain, accessibility to public transport, clear pathways, vibrant environment","Wide sidewalk, nearby tram stop, landscaped areas, modern buildings, flat terrain, accessibility to public transport, clear pathways, vibrant environment. Extremely walkable. 10/10."
image_602,47.6211508,-122.3328394,37,South Lake Union,2021-07-01,3,Slightly walkable,"Lush greenery, garden space, no visible pedestrian pathways, parked cars, no sidewalks or clear walking routes","Lush greenery, garden space, no visible pedestrian pathways, parked cars, no sidewalks or clear walking routes. Slightly walkable. 3/10. "
image_495,47.6016153,-122.3209361,68,Yesler Terrace,2021-07-01,9,Extremely walkable,"Open green spaces, wide paved paths, pedestrian-friendly environment, nearby amenities visible, multiple pedestrians, good visibility, and traffic signals present","Open green spaces, wide paved paths, pedestrian-friendly environment, nearby amenities visible, multiple pedestrians, good visibility, and traffic signals present. Extremely walkable. 9/10."
image_1376,47.6100241,-122.3210523,114,First Hill,2021-07-01,9,Extremely walkable,"Open green space, well-maintained landscaping, trees for shade, nearby pedestrian activity, accessible sidewalks, flat terrain, good visibility","Open green space, well-maintained landscaping, trees for shade, nearby pedestrian activity, accessible sidewalks, flat terrain, good visibility. Extremely walkable. 9/10."
image_66,47.600137,-122.327563,20,International District,2021-07-01,2,Not at all walkable,"Heavy construction, obstacles present, traffic cones, limited pedestrian space, some traffic signals, uneven terrain, workmen visible, urban environment","Heavy construction, obstacles present, traffic cones, limited pedestrian space, some traffic signals, uneven terrain, workmen visible, urban environment. Not at all walkable. 2/10."
image_347,47.6209368,-122.3477654,46,Lower Queen Anne,2021-07-01,9,Extremely walkable,"Marked crosswalks, pedestrian signals present, wide and paved sidewalks, trees and greenery, presence of other pedestrians, nearby amenities, flat terrain","Marked crosswalks, pedestrian signals present, wide and paved sidewalks, trees and greenery, presence of other pedestrians, nearby amenities, flat terrain. Extremely walkable. 9/10."
image_159,47.61009,-122.3462542,1,Pike-Market,2021-07-01,5,Moderately walkable,"Paved sidewalk, some greenery, nearby amenities, flat terrain, limited pedestrian activity, cars parked close to the sidewalk","Paved sidewalk, some greenery, nearby amenities, flat terrain, limited pedestrian activity, cars parked close to the sidewalk. Moderately walkable. 5/10."
image_47,47.598656,-122.3302338,13,Pioneer Square,2021-07-01,5,Moderately walkable,"Flat terrain, wide pathways, nearby buildings, limited pedestrian space due to vehicle presence, some greenery and planters, urban setting","Flat terrain, wide pathways, nearby buildings, limited pedestrian space due to vehicle presence, some greenery and planters, urban setting. Moderately walkable. 5/10."
image_287,47.6021534,-122.319532,80,Yesler Terrace,2021-07-01,3,Slightly walkable,"Flat terrain, minimal pedestrian infrastructure, some greenery, parked cars, construction in the area, limited sidewalk visibility, sparsely populated","Flat terrain, minimal pedestrian infrastructure, some greenery, parked cars, construction in the area, limited sidewalk visibility, sparsely populated. Slightly walkable. 3/10."
image_81,47.6226806,-122.3310783,34,South Lake Union,2021-07-01,5,Moderately walkable,"Well-maintained greenery, flat terrain, limited visible pedestrian pathways, urban setting, distant buildings suggest possible activity but not prominently visible","Well-maintained greenery, flat terrain, limited visible pedestrian pathways, urban setting, distant buildings suggest possible activity but not prominently visible. Moderately walkable. 5/10."
image_21,47.621481,-122.3220361,103,Broadway,2021-07-01,8,Very walkable,"Flat terrain, trees and greenery, some pedestrian infrastructure visible, limited traffic, residential area, wide sidewalks, no visible obstacles","Flat terrain, trees and greenery, some pedestrian infrastructure visible, limited traffic, residential area, wide sidewalks, no visible obstacles. Very walkable. 8/10."
image_253,47.598169,-122.3331512,13,Pioneer Square,2021-07-01,9,Extremely walkable,"Wide sidewalks, marked crosswalks, nearby seating options, traffic signals present, greenery, urban amenities, no visible obstacles, flat terrain","Wide sidewalks, marked crosswalks, nearby seating options, traffic signals present, greenery, urban amenities, no visible obstacles, flat terrain. Extremely walkable. 9/10."
image_89,47.6176724,-122.3261897,73,Broadway,2021-07-01,2,Not at all walkable,"Steep incline, narrow sidewalk, graffiti, minimal pedestrian amenities, some vegetation, limited visibility","Steep incline, narrow sidewalk, graffiti, minimal pedestrian amenities, some vegetation, limited visibility. Not at all walkable. 2/10."
image_233,47.6147955,-122.3330795,59,Denny Triangle,2021-07-01,1,Not at all walkable,"Heavy construction, traffic cones, limited pedestrian space, obstructed pathways, nearby traffic signals, urban environment, no visible pedestrians","Heavy construction, traffic cones, limited pedestrian space, obstructed pathways, nearby traffic signals, urban environment, no visible pedestrians. Not at all walkable. 1/10."
image_103,47.6105533,-122.3325485,56,Central Business District,2021-07-01,6,Moderately walkable,"Marked crosswalks, pedestrians present, flat terrain, urban area, some construction barriers, visible traffic signs, nearby amenities","Marked crosswalks, pedestrians present, flat terrain, urban area, some construction barriers, visible traffic signs, nearby amenities. Moderately walkable. 6/10. "
image_130,47.6161177,-122.3382523,30,Denny Triangle,2021-07-01,5,Moderately walkable,"Urban setting, nearby amenities, wide sidewalks, some pedestrians, slight incline, parked cars, greenery present","Urban setting, nearby amenities, wide sidewalks, some pedestrians, slight incline, parked cars, greenery present. Moderately walkable. 5/10."
image_3,47.6163758,-122.3234327,87,Broadway,2021-07-01,4,Slightly walkable,"Slight incline, minimal pedestrian infrastructure, parked cars, greenery on the sides, some residential buildings, unpaved area, few visible pedestrians","Slight incline, minimal pedestrian infrastructure, parked cars, greenery on the sides, some residential buildings, unpaved area, few visible pedestrians. Slightly walkable. 4/10."
image_17,47.6134325,-122.3520462,6,Belltown,2021-07-01,6,Moderately walkable,"Traffic lights present, flat terrain, wide road, proximity to waterfront, some pedestrian features visible, minimal pedestrian activity in view","Traffic lights present, flat terrain, wide road, proximity to waterfront, some pedestrian features visible, minimal pedestrian activity in view. Moderately walkable. 6/10."
image_162,47.6157978,-122.3524071,16,Belltown,2021-07-01,6,Moderately walkable,"Paved sidewalks, nearby amenities including residential buildings, trees, marked signage, moderate street conditions, some pedestrian space, limited traffic","Paved sidewalks, nearby amenities including residential buildings, trees, marked signage, moderate street conditions, some pedestrian space, limited traffic. Moderately walkable. 6/10."
image_5800,47.6094793,-122.3310314,78,First Hill,2021-04-01,10,Extremely walkable,"Paved pathways, abundant greenery, no vehicular traffic, clear walking routes, well-maintained landscape, urban park setting, peaceful environment","Paved pathways, abundant greenery, no vehicular traffic, clear walking routes, well-maintained landscape, urban park setting, peaceful environment. Extremely walkable. 10/10."
image_166,47.6106409,-122.3323381,69,Central Business District,2021-04-01,1,Not at all walkable,"Sidewalk closed, construction activity, detour signs present, heavy machinery visible, limited pedestrian access, potential hazards from construction","Sidewalk closed, construction activity, detour signs present, heavy machinery visible, limited pedestrian access, potential hazards from construction. Not at all walkable. 1/10."
image_164,47.6124023,-122.331191,75,Central Business District,2021-04-01,2,Not at all walkable,"Enclosed area, limited visibility, vehicles present, no clear pedestrian path, urban environment, underpass with potential safety concerns","Enclosed area, limited visibility, vehicles present, no clear pedestrian path, urban environment, underpass with potential safety concerns. Not at all walkable. 2/10."
image_291,47.6108626,-122.328811,91,First Hill,2021-04-01,1,Not at all walkable,"No visible sidewalk, dense greenery, unclear pedestrian pathway, lacks urban infrastructure or amenities, residential context","No visible sidewalk, dense greenery, unclear pedestrian pathway, lacks urban infrastructure or amenities, residential context. Not at all walkable. 1/10."
image_32,47.6189022,-122.320341,102,Broadway,2020-04-01,6,Moderately walkable,"Open green space, paved pathways, lighting present, ongoing construction nearby, flat terrain, residential buildings, potential for amenities","Open green space, paved pathways, lighting present, ongoing construction nearby, flat terrain, residential buildings, potential for amenities. Moderately walkable. 6/10."
image_12,47.599568,-122.3196443,48,Yesler Terrace,2019-06-01,4,Slightly walkable,"Steep incline, limited pedestrian infrastructure, mostly residential area, greenery visible, low vehicle traffic","Steep incline, limited pedestrian infrastructure, mostly residential area, greenery visible, low vehicle traffic. Slightly walkable. 4/10."
